"partid","task_ord","cond","task_ind","task","session","time","gamble_ind","gamble_lab","box","opt","outcome","rt","nopt","H","R"
90240301,"dfd_dfe","decr",2,"dfe","5249470e5085ce513af0b52cb8a2c892",1414849111,2,"soep3_4",1,"d",4,1219,4,0,1
90240301,"dfd_dfe","decr",2,"dfe","5249470e5085ce513af0b52cb8a2c892",1414849141,3,"soep2_2",1,"a",4,313,2,1,1
90240301,"dfd_dfe","decr",2,"dfe","5249470e5085ce513af0b52cb8a2c892",1414849179,4,"soep1_2",1,"b",3,871,2,0,0
90241101,"dfe_dfd","decr",1,"dfe","a8ab481daa5827ea92d0e9bd15b8da14",1416237793,1,"soep4_4",1,"c",3,2739,4,0,0
90241101,"dfe_dfd","decr",1,"dfe","a8ab481daa5827ea92d0e9bd15b8da14",1416237884,2,"soep3_4",3,"c",3,2311,4,0,0
90241101,"dfe_dfd","decr",1,"dfe","a8ab481daa5827ea92d0e9bd15b8da14",1416237916,3,"soep2_2",2,"a",0,1787,2,1,1
90241101,"dfe_dfd","decr",1,"dfe","a8ab481daa5827ea92d0e9bd15b8da14",1416237976,4,"soep1_2",2,"b",3,12174,2,0,0
90241101,"dfe_dfd","decr",2,"dfd","a8ab481daa5827ea92d0e9bd15b8da14",1416238049,1,"soep4_4",3,"b",4,14166,4,0,1
90241101,"dfe_dfd","decr",2,"dfd","a8ab481daa5827ea92d0e9bd15b8da14",1416238064,2,"soep3_4",4,"c",3,11689,4,0,0
90241101,"dfe_dfd","decr",2,"dfd","a8ab481daa5827ea92d0e9bd15b8da14",1416238075,3,"soep2_2",1,"a",4,6470,2,1,1
90241101,"dfe_dfd","decr",2,"dfd","a8ab481daa5827ea92d0e9bd15b8da14",1416238084,4,"soep1_2",2,"b",3,5208,2,0,0
90242001,"dfd_dfe","incr",1,"dfd","51d0d1a59df297a1509120ad446c9f80",1417450462,1,"soep1_2",1,"a",0,5069,2,1,1
90242001,"dfd_dfe","incr",1,"dfd","51d0d1a59df297a1509120ad446c9f80",1417450486,2,"soep2_2",2,"b",3,20446,2,0,0
90242001,"dfd_dfe","incr",1,"dfd","51d0d1a59df297a1509120ad446c9f80",1417450510,3,"soep3_4",4,"a",0,20134,4,1,1
90242001,"dfd_dfe","incr",1,"dfd","51d0d1a59df297a1509120ad446c9f80",1417450522,4,"soep4_4",3,"c",3,9358,4,0,0
90242001,"dfd_dfe","incr",2,"dfe","51d0d1a59df297a1509120ad446c9f80",1417450585,1,"soep1_2",1,"b",3,1273,2,0,0
90242001,"dfd_dfe","incr",2,"dfe","51d0d1a59df297a1509120ad446c9f80",1417450593,2,"soep2_2",1,"a",0,1017,2,1,1
90242001,"dfd_dfe","incr",2,"dfe","51d0d1a59df297a1509120ad446c9f80",1417450603,3,"soep3_4",2,"d",4,818,4,0,1
