"mean","HDIl","HDIu","r2_med","r2_sd","timestamp","dv","sex","age","fluid","cryst","hhinc","incomenet","eduyears","social","sports","empl","effect","model","do_sim","j_sim","SOEPgen","SOEPdri","SOEPinv","SOEPrec","SOEPocc","SOEPhea","SOEPsoc","S.dfe2","S.dfe4","R.dfe2","R.dfe4","R.dfd2","R.dfd4","REM","REMsr","REMbeh","sim_median","sim_min","sim_max"
0.0432551432335623,-0.0524171195017632,0.143923577656479,0.0399870521207929,0.0173360032816274,1520084473.24408,"SOEPinv","yes","no","no","no","no","yes","no","no","no","no","incomenet",19,FALSE,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
-0.125756494183195,-0.217387747566045,-0.0349190391399263,0.0465149909597046,0.0189374583653608,1520084472.43341,"SOEPrec","yes","no","no","no","no","yes","no","no","no","no","incomenet",20,FALSE,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
-0.00364416267954905,-0.0965949282390437,0.0881169295700729,0.00632623485313585,0.00732708770877489,1520084475.05054,"SOEPocc","yes","no","no","no","no","yes","no","no","no","no","incomenet",21,FALSE,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
0.0319933826191712,-0.060229834275228,0.124352238173368,0.0111395988419288,0.0094049526677904,1520084473.6353,"SOEPhea","yes","no","no","no","no","yes","no","no","no","no","incomenet",22,FALSE,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
0.0727503541497828,-0.0238880697644355,0.17148259936147,0.00753072791664494,0.00768619022383646,1520084474.91081,"SOEPsoc","yes","no","no","no","no","yes","no","no","no","no","incomenet",23,FALSE,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA
-0.0708443570132528,-0.180629793753741,0.0348530163580517,0.00707203148402465,0.00750433626304069,1520084474.79755,"S.dfe2","yes","no","no","no","no","yes","no","no","no","no","incomenet",24,FALSE,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA
0.0167397877477888,-0.0898182578358391,0.121904870805396,0.003312878842997,0.00477072751248321,1520084475.44975,"S.dfe4","yes","no","no","no","no","yes","no","no","no","no","incomenet",25,FALSE,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA
-0.0650527591182314,-0.160716580481329,0.027332373261166,0.00614314407049324,0.00686770815039638,1520084475.67287,"R.dfe2","yes","no","no","no","no","yes","no","no","no","no","incomenet",26,FALSE,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA
-0.0443361687148355,-0.139716649354617,0.0512010306793591,0.00454356845968393,0.00578528538957005,1520084476.5911,"R.dfe4","yes","no","no","no","no","yes","no","no","no","no","incomenet",27,FALSE,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA
-0.0565241533057001,-0.154416012642759,0.039384710746098,0.0119605152438794,0.0098808009049427,1520084475.85903,"R.dfd2","yes","no","no","no","no","yes","no","no","no","no","incomenet",28,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA
